"fid,N,10,0","c_Degrees,N,24,15","xcoord,N,24,15","ycoord,N,24,15","EM_HK_1250,N,21,5","2516_19HA,N,21,5","2515_19HD,N,21,5","31251837HD,N,21,5","2516_19HD,N,21,5","6251819HD,N,21,5","EM_HKA_125,N,21,5","31251537HD,N,21,5","2517_19HD,N,21,5","2517_19HA,N,21,5","6251619HD,N,21,5","EM_HK_2500,N,21,5","6251619HA,N,21,5","EM_HKA_250,N,21,5","6251519HD,N,21,5","6251719HA,N,21,5","6251719HD,N,21,5","2516_37HA,N,21,5","2516_37HD,N,21,5","31251637HD,N,21,5","31251637HA,N,21,5","2517_37HA,N,21,5","31251737HD,N,21,5","31251737HA,N,21,5"
0.0000,0.0775,-60.6976,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0800,-60.6951,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0825,-60.6926,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0850,-60.6901,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0875,-60.6876,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0900,-60.6851,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.5000,262.6832,260.2900,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.0925,-60.6826,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.5000,262.6832,260.2900,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.0950,-60.6801,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.0975,-60.6776,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1000,-60.6751,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1025,-60.6726,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1050,-60.6701,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1075,-60.6676,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1100,-60.6651,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1125,-60.6626,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1150,-60.6601,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1175,-60.6576,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1200,-60.6551,-37.2746,262.4847,260.8800,260.4800,262.1000,257.6500,261.1700,262.6832,260.2900,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.8100,265.0600,0.0000,259.6900,263.6300
0.0000,0.1225,-60.6526,-37.2746,262.4847,260.8800,260.4800,261.6600,257.6500,261.1700,262.6832,259.5600,257.2700,0.0000,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,264.6600,258.7300,258.7100,265.1300,0.0000,259.3500,263.4700
0.0000,0.1250,-60.6501,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1275,-60.6476,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1300,-60.6451,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1325,-60.6426,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1350,-60.6401,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1375,-60.6376,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1400,-60.6351,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1425,-60.6326,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1450,-60.6301,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1475,-60.6276,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1500,-60.6251,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1525,-60.6226,-37.2746,264.7744,262.6100,262.0200,261.6600,257.5500,261.1700,262.1747,259.5600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.7100,265.1300,264.2200,259.3500,263.4700
0.0000,0.1550,-60.6201,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,261.1700,262.1747,259.3600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1575,-60.6176,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,261.1700,262.1747,259.3600,257.8200,262.1300,258.8200,266.3926,261.6000,263.5252,260.4600,261.3100,258.0600,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1600,-60.6151,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1625,-60.6126,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1650,-60.6101,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1675,-60.6076,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
