deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.1975,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.577605,-37.274563
0.2,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.575105,-37.274563
0.2025,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.572605,-37.274563
0.205,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.570105,-37.274563
0.2075,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.567605,-37.274563
0.21,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.565105,-37.274563
0.2125,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.562605,-37.274563
0.215,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.560105,-37.274563
0.2175,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.557605,-37.274563
0.22,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.555105,-37.274563
0.2225,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.552605,-37.274563
0.225,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.550105,-37.274563
0.2275,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.547605,-37.274563
0.23,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.545105,-37.274563
0.2325,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.542605,-37.274563
0.235,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.540105,-37.274563
0.2375,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.537605,-37.274563
0.24,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.535105,-37.274563
0.2425,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.532605,-37.274563
0.245,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.530105,-37.274563
0.2475,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.527605,-37.274563
0.25,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.525105,-37.274563
0.2525,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.522605,-37.274563
0.255,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.520105,-37.274563
0.2575,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.517605,-37.274563
0.26,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.515105,-37.274563
0.2625,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.512605,-37.274563
0.265,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.510105,-37.274563
0.2675,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.507605,-37.274563
0.27,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.505105,-37.274563
0.2725,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.502605,-37.274563
0.275,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.500105,-37.274563
0.2775,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.497605,-37.274563
0.28,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.495105,-37.274563
0.2825,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.492605,-37.274563
0.285,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.490105,-37.274563
0.2875,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.487605,-37.274563
0.29,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.485105,-37.274563
0.2925,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.482605,-37.274563
0.295,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.480105,-37.274563
0.2975,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.477605,-37.274563
0.3,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.475105,-37.274563
0.3025,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.472605,-37.274563
0.305,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.470105,-37.274563
0.3075,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.467605,-37.274563
0.31,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.465105,-37.274563
0.3125,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.462605,-37.274563
0.315,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.460105,-37.274563
0.3175,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.457605,-37.274563
0.32,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.455105,-37.274563
0.3225,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.452605,-37.274563
0.325,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.450105,-37.274563
0.3275,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.447605,-37.274563
0.33,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.445105,-37.274563
0.3325,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.442605,-37.274563
0.335,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.440105,-37.274563
0.3375,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.437605,-37.274563
0.34,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.435105,-37.274563
0.3425,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.432605,-37.274563
0.345,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.430105,-37.274563
0.3475,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.427605,-37.274563
0.35,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.425105,-37.274563
0.3525,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.422605,-37.274563
0.355,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.420105,-37.274563
0.3575,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.417605,-37.274563
0.36,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.415105,-37.274563
0.3625,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.412605,-37.274563
0.365,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.410105,-37.274563
0.3675,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.407605,-37.274563
0.37,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.405105,-37.274563
0.3725,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.402605,-37.274563
0.375,258.17883,259.2785,259.43109,257.54999,255.30875,255.07587,258.78,262.82788,-60.400105,-37.274563
0.3775,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.397605,-37.274563
0.38,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.395105,-37.274563
0.3825,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.392605,-37.274563
0.385,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.390105,-37.274563
0.3875,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.387605,-37.274563
0.39,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.385105,-37.274563
0.3925,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.382605,-37.274563
0.395,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.380105,-37.274563
0.3975,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.377605,-37.274563
0.4,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.375105,-37.274563
0.4025,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.372605,-37.274563
0.405,258.17883,259.2785,259.43109,257.26999,255.30875,255.07587,256.66,262.82788,-60.370105,-37.274563
0.4075,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.367605,-37.274563
0.41,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.365105,-37.274563
0.4125,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.362605,-37.274563
0.415,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.360105,-37.274563
0.4175,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.357605,-37.274563
0.42,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.355105,-37.274563
0.4225,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.352605,-37.274563
0.425,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.350105,-37.274563
0.4275,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.347605,-37.274563
0.43,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.345105,-37.274563
0.4325,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.342605,-37.274563
0.435,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.340105,-37.274563
0.4375,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.337605,-37.274563
0.44,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.335105,-37.274563
0.4425,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.332605,-37.274563
0.445,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.330105,-37.274563
0.4475,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.327605,-37.274563
0.45,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.325105,-37.274563
0.4525,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.322605,-37.274563
0.455,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.320105,-37.274563
0.4575,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.317605,-37.274563
0.46,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.315105,-37.274563
0.4625,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.312605,-37.274563
0.465,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.310105,-37.274563
0.4675,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.307605,-37.274563
0.47,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.305105,-37.274563
0.4725,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.302605,-37.274563
0.475,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.300105,-37.274563
0.4775,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.297605,-37.274563
0.48,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.295105,-37.274563
0.4825,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.292605,-37.274563
0.485,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.290105,-37.274563
0.4875,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.287605,-37.274563
0.49,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.285105,-37.274563
0.4925,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.282605,-37.274563
0.495,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.280105,-37.274563
0.4975,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.277605,-37.274563
0.5,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.275105,-37.274563
0.5025,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.272605,-37.274563
0.505,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.270105,-37.274563
0.5075,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.267605,-37.274563
0.51,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.265105,-37.274563
0.5125,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.262605,-37.274563
0.515,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.260105,-37.274563
0.5175,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.257605,-37.274563
0.52,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.255105,-37.274563
0.5225,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.252605,-37.274563
0.525,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.250105,-37.274563
0.5275,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.247605,-37.274563
0.53,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.245105,-37.274563
0.5325,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.242605,-37.274563
0.535,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.240105,-37.274563
0.5375,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.237605,-37.274563
0.54,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.235105,-37.274563
0.5425,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.232605,-37.274563
0.545,258.17883,259.2785,255.45753,257.26999,248.45921,255.07587,256.66,252.90025,-60.230105,-37.274563
0.5475,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.227605,-37.274563
0.55,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.225105,-37.274563
0.5525,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.222605,-37.274563
0.555,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.220105,-37.274563
0.5575,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.217605,-37.274563
0.56,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.215105,-37.274563
0.5625,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.212605,-37.274563
0.565,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.210105,-37.274563
0.5675,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.207605,-37.274563
0.57,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.205105,-37.274563
0.5725,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.202605,-37.274563
0.575,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.200105,-37.274563
0.5775,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.197605,-37.274563
0.58,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.195105,-37.274563
0.5825,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.192605,-37.274563
0.585,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.190105,-37.274563
0.5875,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.187605,-37.274563
0.59,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.185105,-37.274563
0.5925,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.182605,-37.274563
0.595,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.180105,-37.274563
0.5975,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.177605,-37.274563
0.6,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.175105,-37.274563
0.6025,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.172605,-37.274563
0.605,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.170105,-37.274563
0.6075,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.167605,-37.274563
0.61,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.165105,-37.274563
0.6125,259.35233,260.0437,254.33507,257.26999,254.27512,256.66095,256.66,253.42209,-60.162605,-37.274563
