deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12
0.3125,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.315,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3175,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.32,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3225,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.325,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3275,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.33,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3325,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.335,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3375,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.34,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3425,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.345,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3475,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.35,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3525,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.355,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3575,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.36,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3625,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.365,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3675,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.37,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.3725,249.20401,249.51837,256.38498,241.29999,257.9765,244.75989,244.33,255.8145
0.375,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.3775,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.38,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.3825,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.385,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.3875,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.39,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.3925,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.395,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.3975,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4025,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.405,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4075,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.41,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4125,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.415,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4175,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.42,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4225,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.425,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4275,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.43,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
