deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.1925,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.470517,-35.685367
0.195,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.46811,-35.68469
0.1975,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.465704,-35.684014
0.2,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.463297,-35.683337
0.2025,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.46089,-35.682661
0.205,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.458484,-35.681984
0.2075,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.456077,-35.681308
0.21,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.45367,-35.680631
0.2125,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.451263,-35.679955
0.215,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.448857,-35.679278
0.2175,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.44645,-35.678602
0.22,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.444043,-35.677925
0.2225,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.441637,-35.677249
0.225,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.43923,-35.676572
0.2275,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.436823,-35.675896
0.23,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.434416,-35.675219
0.2325,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.43201,-35.674542
0.235,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.429603,-35.673866
0.2375,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.427196,-35.673189
0.24,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.424789,-35.672513
0.2425,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.422383,-35.671836
0.245,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.419976,-35.67116
0.2475,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.417569,-35.670483
0.25,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.415163,-35.669807
0.2525,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.412756,-35.66913
0.255,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.410349,-35.668454
0.2575,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.407942,-35.667777
0.26,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.405536,-35.667101
