"fid,N,10,0","c_Degrees,N,24,15",xcoord,ycoord,EM_h_K_12,EM_h_K_25,EM_h_KA_25,EM_h_KA_125,NSIDC_F17_37HA,NSIDC_F17_19HD,NSIDC_F16_19HA,NSIDC_F16_37HA,NSIDC_F16_19HD,NSIDC_F16_37HD,NSIDC_F17_19HA,NSIDC_F15_19HD
0.00000,0.11500,-60.66011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.11750,-60.65761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.12000,-60.65511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.12250,-60.65261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.12500,-60.65011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.12750,-60.64761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.13000,-60.64511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.13250,-60.64261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.13500,-60.64011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.13750,-60.63761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.14000,-60.63511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.14250,-60.63261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.14500,-60.63011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.14750,-60.62761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.15000,-60.62511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.15250,-60.62261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.15500,-60.62011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.15750,-60.61761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.16000,-60.61511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.16250,-60.61261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.16500,-60.61011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.16750,-60.60761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.17000,-60.60511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.17250,-60.60261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.17500,-60.60011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.17750,-60.59761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.18000,-60.59511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.18250,-60.59261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.18500,-60.59011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.18750,-60.58761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.19000,-60.58511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.19250,-60.58261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.19500,-60.58011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.19750,-60.57761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.20000,-60.57511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.20250,-60.57261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.20500,-60.57011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.20750,-60.56761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.21000,-60.56511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.21250,-60.56261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.21500,-60.56011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.21750,-60.55761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.22000,-60.55511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.22250,-60.55261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.22500,-60.55011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.22750,-60.54761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.23000,-60.54511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.23250,-60.54261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.23500,-60.54011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.23750,-60.53761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.24000,-60.53511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.24250,-60.53261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.24500,-60.53011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.24750,-60.52761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.25000,-60.52511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.25250,-60.52261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.25500,-60.52011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.25750,-60.51761,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.26000,-60.51511,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.26250,-60.51261,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.26500,-60.51011,-37.27456,264.77441,266.39258,263.52524,262.17474,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.26750,-60.50761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.27000,-60.50511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.27250,-60.50261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.27500,-60.50011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.27750,-60.49761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.28000,-60.49511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.28250,-60.49261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
